Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
23-7-2021 18:35:19,,,,,,,,,,,,,
23-7-2021 21:40:02,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),10.000-12.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 600€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
23-7-2021 21:42:38,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 400€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
23-7-2021 23:08:34,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 55 years of age,Single shares or bonds,Equity REIT's (investment company investing in Real Estate),0 - 2.000€,Between 25 and 50k€,Between 600 and 700k€,Up to 300€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
23-7-2021 23:36:46,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Options, Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",More then 20.000€,Between 25 and 50k€,Between 5M€ and 10M€,Up to 3000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 8:55:21,I am in my 50's,...Dutch,Brussels Capital Region,DeGiro,Before 60 years of age,time deposits with 2.25 to 5.5% returns,"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...), Equity REIT's (investment company investing in Real Estate), Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",6.000-8.000€,Between 600 and 700k€,Between 1.2M€ and 1.4M€,Up to 3500€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 11:03:33,I am in my 20's,...Dutch,Province of Antwerp,Trading212,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 11:55:10,I am in my 20's,...Dutch,Province of Antwerp,Medirect,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 75 and 100k€,Between 500 and 550k€,Up to 1000€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 12:20:05,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),6.000-8.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 600€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 12:34:47,I am in my 20's,...Dutch,Province of Limburg,"Just starting out, still have to choose one",Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 900€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 12:44:53,,,,,,,,,,,,,
24-7-2021 16:31:41,I am younger then 20 years of age,...Dutch,Province of Antwerp,DeGiro,Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",0 - 2.000€,Between 0 and 25k€,Above 10M€....,,,single person trying to reach FIRE (1 person)
24-7-2021 16:33:25,,,,,,,,,,,,,
24-7-2021 18:05:57,I am in my 40's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",14.000-16.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 100€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 18:08:08,I am in my 20's,...Dutch,Province of East Flanders,"Just starting out, still have to choose one",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual bond funds, Single shares or bonds",18.000-20.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 800€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 18:11:53,,,,,,,,,,,,,
24-7-2021 19:52:13,I am in my 30's,...Dutch,Province of Limburg,"Just starting out, still have to choose one",Before 55 years of age,Single shares or bonds,Crypto currency,10.000-12.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 800€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 19:53:00,I am in my 30's,...Dutch,Province of Limburg,Keytrade,Before 55 years of age,Mutual share funds,Crypto currency,8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 500€,Less then 20% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
24-7-2021 21:45:10,I am in my 20's,...Dutch,Province of Antwerp,re=bel,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1100€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
24-7-2021 22:25:25,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",6.000-8.000€,Between 25 and 50k€,Between 600 and 700k€,Up to 800€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
24-7-2021 23:34:19,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
24-7-2021 23:36:00,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",4.000-6.000€,Between 400 and 450k€,Between 700 and 800k€,Up to 2000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
24-7-2021 23:41:56,I am in my 30's,Polish,I am living in another country,Boś bank,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",6.000-8.000€,Between 25 and 50k€,Between 350 and 400k€,Up to 1500€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 0:23:01,I am in my 20's,...Dutch,Province of Antwerp,BinckBank,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,4.000-6.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 0:29:08,I am in my 20's,....French,Province of Liège,DeGiro,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,4.000-6.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 100€,,single person trying to reach FIRE (1 person)
25-7-2021 0:43:44,I am in my 30's,...Dutch,Province of West Flanders,BinckBank,I don't think I will FIRE before I officially retire (67),Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Equity REIT's (investment company investing in Real Estate)",More then 20.000€,Between 800 and 900k€,Above 10M€....,Up to 1000€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 1:53:17,I am in my 30's,...Dutch,I am living in another country,Meesman,Before 50 years of age,All world all cap Index mutual funds,None,0 - 2.000€,Between 75 and 100k€,Between 550 and 600k€,Up to 2400€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 10:17:17,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",8.000-10.000€,Between 25 and 50k€,Between 450 and 500k€,Up to 700€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 10:18:00,I am in my 40's,...Dutch,Province of Flemish Brabant,ING,Before 55 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",10.000-12.000€,Between 100 and 125k€,Between 1.4M€ and 1.6M€,Up to 700€,Less then 5% (but more then above answer),couple trying to reach FIRE (2 person)
25-7-2021 10:21:44,I am in my 20's,...Dutch,Brussels Capital Region,Bolero,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",0 - 2.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 11:27:35,I am in my 20's,....French,Province of Hainaut,BNP Paribas Fortis,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Options,10.000-12.000€,Between 300 and 350k€,Between 500 and 550k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 12:11:50,I am in my 30's,Greek,Brussels Capital Region,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",14.000-16.000€,Between 125 and 150k€,Between 1.2M€ and 1.4M€,Up to 3000€,Less then 80% (but more then above answer),couple trying to reach FIRE (2 person)
25-7-2021 12:31:25,I am in my 20's,...Dutch,Province of Flemish Brabant,Lynx,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 125 and 150k€,Between 1.2M€ and 1.4M€,Up to 2800€,More then 95%,single person trying to reach FIRE (1 person)
25-7-2021 12:54:18,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,4.000-6.000€,Between 75 and 100k€,Between 200 and 250k€,Up to 400€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 13:11:37,I am in my 40's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Single shares or bonds,"Commodities: Gold - Silver - Platinum - etc..., Mutual share funds, Options, TAK21 Pension saving, TAK23 Pension saving",6.000-8.000€,Between 350 and 400k€,Between 1.4M€ and 1.6M€,Above 4000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 14:02:20,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 2000€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 14:46:04,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,18.000-20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 2600€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
25-7-2021 15:52:54,I am in my 30's,...Dutch,Province of West Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK23 Pension saving",More then 20.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 16:38:12,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK21 Pension saving",10.000-12.000€,Between 0 and 25k€,Between 1.2M€ and 1.4M€,Up to 400€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 18:03:03,I am in my 20's,...English,Province of West Flanders,KBC,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Mutual bond funds, Single shares or bonds, TAK21 Pension saving",2.000-4.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 600€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
25-7-2021 19:40:37,I am in my 40's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",4.000-6.000€,Between 50 and 75k€,Between 400 and 450k€,Up to 1200€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 19:53:20,I am in my 20's,....French,Brussels Capital Region,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds, Mutual bond funds, Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
25-7-2021 20:02:09,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,Before 55 years of age,Single shares or bonds,,12.000-14.000€,Between 200 and 250k€,Between 1.2M€ and 1.4M€,Up to 1500€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
25-7-2021 22:08:25,I am in my 30's,...Dutch,Province of West Flanders,Deutsche Bank,Before 50 years of age,Mutual share funds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Mutual share funds, Equity REIT's (investment company investing in Real Estate), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 300€,Less then 5% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 7:54:46,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 0 and 25k€,Between 100 and 125k€,Up to 1300€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 11:09:24,I am in my 20's,...Dutch,Province of Limburg,DeGiro,Before 40 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",4.000-6.000€,Between 0 and 25k€,Between 3M€ and 3.5M€,Up to 1000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 11:29:54,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Equity REIT's (investment company investing in Real Estate), TAK21 Pension saving",4.000-6.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 500€,Less then 25% (but more then above answer),Single dad with 2 toddlers
26-7-2021 12:52:36,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),,More then 20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1000€,,single person trying to reach FIRE (1 person)
26-7-2021 13:34:23,I am in my 20's,...Dutch,Province of West Flanders,"Just starting out, still have to choose one",Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Mutual bond funds, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 2000€,,single person trying to reach FIRE (1 person)
26-7-2021 14:01:14,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),4.000-6.000€,More then 1M€,Between 3M€ and 3.5M€,Up to 1300€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 14:02:33,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),4.000-6.000€,More then 1M€,Between 3M€ and 3.5M€,Up to 1300€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 14:52:22,I am in my 30's,...Dutch,Brussels Capital Region,Keytrade,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",8.000-10.000€,Between 150 and 200k€,Between 450 and 500k€,Up to 1000€,Less then 40% (but more then above answer),couple trying to reach FIRE (2 person)
26-7-2021 15:07:15,I am in my 40's,...Dutch,Province of Antwerp,Keytrade,Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual bond funds, Physical real estate (house - apartment - garage - agricultural - etc...)",More then 20.000€,Between 150 and 200k€,Between 350 and 400k€,Up to 500€,Less then 5% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
26-7-2021 15:09:59,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, TAK21 Pension saving",10.000-12.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
26-7-2021 15:13:11,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),TAK21 Pension saving,More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 16:02:46,I am in my 20's,....French,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,10.000-12.000€,Between 0 and 25k€,Between 250 and 300k€,Up to 700€,,single person trying to reach FIRE (1 person)
26-7-2021 19:19:48,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 100 and 125k€,Between 900 and 1M€,Up to 900€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 19:39:17,I am in my 30's,Portuguese,Brussels Capital Region,Medirect,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 25 and 50k€,Between 125 and 150k€,Up to 1500€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
26-7-2021 20:49:24,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, TAK23 Pension saving",12.000-14.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 600€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
26-7-2021 20:52:38,I am in my 20's,Spanish,Brussels Capital Region,ING,Before my 30's,Physical real estate (house - apartment - garage - agricultural - etc...),Crypto currency,2.000-4.000€,Between 0 and 25k€,Between 4.5M€ and 5M€,Up to 300€,Less then 75% (but more then above answer),couple trying to reach FIRE (2 person)
26-7-2021 22:41:15,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,,Up to 1300€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
27-7-2021 8:08:29,I am in my 30's,...Dutch,Province of Flemish Brabant,BinckBank,Before 40 years of age,Crypto currency,,More then 20.000€,Between 300 and 350k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
27-7-2021 8:50:57,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 75 and 100k€,,Up to 600€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
27-7-2021 10:06:13,I am in my 30's,Spanish,Brussels Capital Region,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
27-7-2021 11:33:29,I am in my 30's,...Dutch,Province of Limburg,Keytrade,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",More then 20.000€,Between 200 and 250k€,Between 2.2M€ and 2.4M€,Up to 400€,Less then 10% (but more then above answer),couple trying to reach FIRE (2 person)
27-7-2021 12:00:19,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 0 and 25k€,Between 1.8M€ and 2M€,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
27-7-2021 15:08:04,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",14.000-16.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
27-7-2021 15:08:17,,,,,,,,,,,,,
27-7-2021 17:50:18,I am in my 20's,...Dutch,Province of East Flanders,Lynx,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",4.000-6.000€,Between 50 and 75k€,Between 1.8M€ and 2M€,Up to 900€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
27-7-2021 18:33:54,I am in my 30's,...Dutch,Province of Antwerp,BinckBank,Before 45 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 250 and 300k€,Between 800 and 900k€,Up to 1400€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
27-7-2021 18:34:06,,,,,,,,,,,,,
27-7-2021 23:05:50,I am in my 40's,Spanish,Brussels Capital Region,DeGiro,Before 67 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",4.000-6.000€,Between 50 and 75k€,Between 350 and 400k€,Up to 400€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
28-7-2021 0:15:56,,,,,,,,,,,,,
28-7-2021 12:47:53,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Commodities: Gold - Silver - Platinum - etc..., Options, Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 200 and 250k€,Between 600 and 700k€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
28-7-2021 18:41:14,I am in my 20's,...Dutch,Province of East Flanders,ING,Before 35 years of age,Crypto currency,Crypto currency,More then 20.000€,Between 450 and 500k€,Between 1.8M€ and 2M€,Up to 500€,Less then 15% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
28-7-2021 21:50:25,I am younger then 20 years of age,...Dutch,Province of Antwerp,Bolero,,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Crypto currency",0 - 2.000€,Between 0 and 25k€,,,,single person trying to reach FIRE (1 person)
28-7-2021 21:51:00,,,,,,,,,,,,,T
29-7-2021 19:15:45,I am in my 30's,....French,Province of Luxembourg,BeoBank,I don't think I will FIRE before I officially retire (67),Mutual share funds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual bond funds, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 150 and 200k€,Between 500 and 550k€,Up to 600€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
